,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank(2020),Closing Rank(2020),Opening Rank(2021),Closing Rank(2021),Opening Rank(2022),Closing Rank(2022),Opening Rank(2023),Closing Rank(2023),Opening Rank(2024),Closing Rank(2024),opening Rank(2025),closing Rank
940,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,71223,84196,46866,56764,52004,64601,55817,56986,93388,100431,82201,84498
941,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),66821,66821,49860,49860,57428,57428,71538,71538,36354,36354,47984,47984
942,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,27561,35853,20852,25122,16322,21317,22425,24671,24331,28878,23942,27806
943,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),35130,46450,25119,29867,18643,21150,22686,24722,21619,26256,21870,25855
944,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,21802,32448,12711,26827,9337,19299,9921,25668,21673,37664,18290,36529
945,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),31096,31096,19278,29787,17691,23352,20330,23222,33341,34251,29592,33887
946,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,34954,37469,38474,42794,42878,47252,40340,47289,44365,50575,44762,51168
947,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),42446,46156,44203,51737,51965,55980,52381,55582,50763,58458,50679,58888
948,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,6207,6495,6522,6832,7016,7377,7641,7931,8213,8319,8730,8652
949,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7607,7607,8606,8606,8353,8353,9354,9354,9908,9908,10072,10072
950,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10679,11789,12193,13524,13295,14464,14152,15117,14964,16402,15663,17226
951,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),15894,17561,18470,18729,19038,19209,20150,20399,19679,20027,19506,19945
952,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,6132,7028,7413,7902,7009,7383,6963,7447,7717,8269,7977,8477
953,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7565,8665,9222,9728,9087,9667,9762,9917,10675,10777,11062,11124
954,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2705,2828,2912,3157,3024,3197,2759,2862,2822,3215,2818,3135
955,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),4163,4163,3752,3752,3566,3566,3793,3793,4307,4307,4248,4248
956,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,OPEN,Gender-Neutral,27,376,181,433,105,342,60,163,68,271,63,255
957,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,OPEN,Female-only (including Supernumerary),54,133,25,178,118,153,76,86,83,138,79,117
958,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,OPEN (PwD),Gender-Neutral,4,4,2,2,40,40,7,7,62,62,18,18
959,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,EWS,Gender-Neutral,453,484,87,99,270,603,148,304,211,479,154,322
960,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,EWS,Female-only (including Supernumerary),100,100,95,95,126,126,103,103,111,111,106,106
961,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Gender-Neutral,117,172,119,169,94,164,65,97,78,133,80,120
962,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Female-only (including Supernumerary),132,132,118,118,93,93,60,60,96,105,95,99
963,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,SC,Gender-Neutral,91,128,81,182,68,108,5,145,13,107,13,140
964,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,SC,Female-only (including Supernumerary),117,117,18,18,87,87,41,41,298,298,123,123
965,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",HS,ST,Gender-Neutral,55,2527,718,718,1385,1385,353,353,51,415,39,370
966,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,OPEN,Gender-Neutral,238,457,45,269,178,316,123,289,104,372,120,312
967,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,OPEN,Female-only (including Supernumerary),229,235,99,156,74,248,97,129,141,256,163,130
968,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,EWS,Gender-Neutral,67,68,46,51,79,81,75,87,121,136,98,135
969,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Gender-Neutral,174,231,97,236,125,223,83,244,127,242,88,243
970,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Female-only (including Supernumerary),151,151,230,230,112,112,130,130,203,203,167,167
971,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,SC,Gender-Neutral,109,118,28,64,23,65,27,46,86,104,99,73
972,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,SC,Female-only (including Supernumerary),92,92,59,59,33,33,6,6,52,52,57,57
973,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,23,23,7,7,4,4,24,24,50,50,66,66
974,National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,ST,Female-only (including Supernumerary),35,35,28,28,12,12,36,36,55,55,58,58
975,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,14764,18673,26834,33103,19801,32346,24573,33833,13404,28517,13289,26131
976,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),12933,14957,26335,26335,13994,21448,20088,25091,18789,18789,18977,17621
977,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,7634,11539,22510,41516,23299,32720,21444,26933,18417,18417,17033,17063
978,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,4852,6354,9320,11409,9280,10455,9226,10384,9267,11012,9226,11639
979,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),4578,4578,10811,10811,8768,8768,9938,9938,7923,7923,7627,7627
980,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2623,7145,7045,10514,8746,9407,3620,8518,3526,9508,3508,9852
981,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,12232,22369,9382,25985,28918,34310,27877,30623,26770,30894,26994,30930
982,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),22493,22493,27661,28292,33641,33641,25713,25713,24027,26392,23720,26515
983,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4089,4655,4144,4335,5158,5158,4886,4886,5375,5768,5312,5358
984,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,8847,9367,9293,9926,9580,9941,8458,10623,10434,10742,10424,10779
985,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),11142,11142,12609,12609,10701,10701,13197,13197,12177,12177,12148,12148
986,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3836,4568,4604,4622,5051,5301,4687,4767,4956,4985,5079,4914
987,National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,289,289,990,990,1718,1718,1654,1654,1825,1825,1925,1925
988,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,15049,25169,23506,29272,23310,32561,20523,30971,19284,27476,18731,26766
989,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),14133,24275,24739,33105,8179,30085,24376,26342,21455,24505,22647,23920
990,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5676,12302,21606,53129,23956,37823,11102,39158,6214,27774,4498,28657
991,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),17621,17621,22277,22277,24859,24859,35513,35513,10755,10755,18634,18634
992,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,5983,7240,7044,10014,9237,11095,8257,9698,7383,9565,7180,9504
993,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),6733,6890,8772,8925,9724,11125,8680,9322,7494,9659,6911,9749
994,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,4738,9816,13344,19436,10790,16558,14570,16599,7249,13814,8496,12883
995,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),3501,5695,7798,15540,1299,7468,11402,15949,10671,10671,11032,13421
996,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,21929,21929,16240,26649,12843,12843,1517,14733,7003,29399,5910,30230
997,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,13530,17700,15693,20403,12933,23530,18350,23968,17210,22457,17219,22094
998,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),14601,22957,21692,24732,27991,32411,24778,28822,19312,30239,16703,30289
999,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2955,3099,2900,3269,3699,3771,3603,3850,3742,3997,3719,4062
1000,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),3903,3903,4894,4894,5824,5824,4503,4503,5366,5366,5429,5429
1001,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5384,6726,5706,7407,6984,8145,6856,8804,6795,8095,6784,7848
1002,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8590,9567,12366,12683,11340,11951,10056,12418,9611,10490,9438,9894
1003,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,468,468,463,463,435,435,591,591,573,573,577,577
1004,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3539,4187,3649,4318,4107,4571,3775,4415,3732,4556,3737,4543
1005,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),4655,5006,4878,5343,3621,5070,4471,6085,5130,6099,5100,6099
1006,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,709,1500,1190,1589,1293,1412,1307,1498,1457,1611,1555,1569
1007,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,11270,26074,17748,37019,28380,38967,19508,39074,25853,35519,25679,34031
1008,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),10948,19442,19369,30377,29528,35769,20677,31731,22602,29302,22964,28101
1009,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,9784,20702,50982,60873,22730,40758,35637,50088,29964,40014,32433,50087
1010,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),4639,10538,19096,30468,19349,24445,77453,77659,26099,32631,67359,67660
1011,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,6299,7728,9221,11663,10557,12920,10915,12670,10010,11567,9433,10919
1012,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),6358,6955,10152,11382,10845,11849,11204,11877,9916,11488,9190,11099
1013,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,815,7451,6357,17347,7867,16371,11904,17155,7322,13963,7306,12717
1014,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),1909,4164,1472,10606,3314,8350,7421,10664,11136,13791,14372,14392
1015,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2013,11444,8021,19380,5962,12179,9295,15518,8191,26676,8434,28678
1016,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),8620,8620,9684,9684,4830,4830,6390,6390,12142,18055,12440,19754
1017,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,15226,20153,19865,24171,23619,28999,26501,31175,24067,29580,23158,29127
1018,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),20782,26647,28445,33675,32972,37839,21701,34440,33447,40524,33595,41970
1019,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,665,665,761,761,941,941,902,902,1112,1112,1124,1124
1020,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3313,3364,3511,3693,4151,4429,4811,4969,4717,5034,4674,5075
1021,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4507,4507,5096,5096,5457,5457,5449,5449,6677,6677,7130,7130
1022,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5166,6491,6949,8012,7518,9155,8282,9794,8149,9852,8066,9896
1023,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),8326,9407,10794,12521,11657,13198,11831,13217,11782,13430,11752,13642
1024,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2601,3044,3276,3986,3493,4316,4183,4647,4563,4962,4832,5215
1025,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),3393,4625,4300,5504,4757,5321,5513,6538,5422,6118,5364,6065
1026,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,597,625,1040,1253,692,1034,1021,1179,1230,1421,1122,1318
1027,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1225,1225,1368,1368,2017,2017,1858,1858,1967,1967,1965,1965
1028,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,1422,7667,1404,9792,1832,9190,2024,8657,4488,8965,5286,9074
1029,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),4374,9149,7833,13963,2753,8139,4314,10145,5110,9330,4959,9329
1030,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,201,201,242,242,97,97,454,454,170,170,399,399
1031,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Female-only (including Supernumerary),678,678,217,217,337,337,751,751,193,193,567,567
1032,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1715,4764,1506,11050,4195,11385,1672,7421,2667,7665,2043,7756
1033,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),2421,5359,3116,6586,1799,5463,2490,5899,8289,8289,10818,8809
1034,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,1409,2484,1897,3654,2359,3679,2021,3772,1996,2846,1988,2386
1035,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),1733,3109,4391,5511,2286,3411,2956,4099,2171,3873,2439,3892
1036,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,131,131,170,170,142,142,172,172,165,165,171,171
1037,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,818,2910,501,4584,801,2562,1931,5379,515,2771,1489,4401
1038,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),1571,2382,2629,5485,713,3780,3335,5746,5055,6490,4899,6442
1039,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,748,9644,563,2485,599,3630,405,1054,784,4056,476,2227
1040,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),5780,5780,3633,3633,4896,4896,932,932,2705,2705,1741,1741
1041,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,1642,2869,180,2717,1820,3843,2483,4455,2614,4088,2557,4066
1042,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),3026,5035,2646,4919,2751,4636,5538,6203,4989,6233,5077,6230
1043,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,106,106,114,114,102,102,73,73,94,94,88,88
1044,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,401,452,319,423,455,518,574,686,556,623,554,619
1045,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),805,874,634,647,605,655,897,1177,996,1062,1014,1085
1046,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,551,981,573,1187,801,1076,1094,1518,1001,1298,976,1426
1047,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),1431,1872,1343,1836,1114,1664,2383,2515,2056,3095,2165,3272
1048,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,401,542,363,552,201,358,577,764,482,813,523,801
1049,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),417,855,987,1042,328,454,1055,1217,809,1084,1017,1160
1050,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,170,209,128,230,54,126,103,171,202,260,235,246
1051,National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),179,179,358,358,195,195,432,432,555,555,514,514
1052,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,6194,17335,10158,19091,10719,21170,14706,19346,12281,15443,11629,14891
1053,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),10105,16701,16423,20847,17957,20740,15063,16570,13963,19237,13410,19762
1054,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,251,251,1779,1779,493,493,1001,1001,413,521,1000,1000
1055,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3490,17370,2688,39749,17169,26006,18329,26509,2811,16994,3886,16343
1056,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),10348,10684,32115,46003,19256,23499,15294,17848,15920,15920,15913,16204
1057,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,4422,5400,5036,6805,5221,6766,4855,5438,3824,4880,3263,4640
1058,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),4415,5371,6112,7391,5216,5546,5829,6607,5869,6279,5877,6257
1059,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,4079,9081,4665,13016,6849,10507,3684,9473,5930,8611,5023,8357
1060,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),1552,6431,6425,8966,4508,10576,7807,10565,2814,4532,5996,2002
1061,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,11192,35617,7900,25878,8018,17207,3826,7932,2835,16825,3066,15275
1062,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),11057,11057,8309,8309,14485,14485,4583,4583,14842,16680,6677,4584
1063,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,6502,9041,7653,10612,7864,12119,8462,11474,7396,10194,7056,9731
1064,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),10306,13096,11960,14654,10947,19345,11661,14920,13313,15517,13668,15525
1065,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Female-only (including Supernumerary),1018,1018,1061,1061,895,895,838,838,707,707,675,675
1066,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1426,1551,1552,1668,1752,1957,1606,1862,1537,1681,1528,1639
1067,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),2124,2124,2334,2334,2925,2925,2494,2494,2378,2396,2381,2400
1068,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,2285,3266,3346,4313,3060,4182,2836,4192,2755,3936,2726,3814
1069,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),5021,5513,5799,6732,5405,5863,5750,6287,4635,5423,4482,5295
1070,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,275,275,167,167,300,300,197,197,328,328,200,200
1071,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1516,2004,2017,2426,1540,2253,1982,2583,1834,2557,1962,2567
1072,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),2687,2857,2440,3126,1895,2403,3520,3977,2512,2875,3065,3552
1073,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,489,656,652,828,333,704,516,823,468,771,501,819
1074,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),838,838,1164,1164,896,896,1477,1477,1446,1446,1459,1459
1075,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,4008,13834,6875,14197,7509,14814,9245,14668,4211,11991,3297,11867
1076,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),9477,14389,8738,15511,10809,16224,10262,13697,9897,13457,9975,13433
1077,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5272,9994,3794,16744,5089,17094,2800,15176,8519,14720,4298,14493
1078,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),9004,9681,17634,22612,13423,15795,8468,13861,13421,13421,14334,13350
1079,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,2950,4265,3390,5032,3692,4990,3784,4627,2819,3551,2445,2982
1080,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),3121,3421,5010,5876,4216,4721,4530,5237,4350,4790,4529,5236
1081,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3121,4708,2718,6834,1426,6675,5475,6563,1152,5750,4796,5352
1082,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),1228,3213,4071,6349,6398,6614,2925,9610,7468,7748,5100,7416
1083,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,10183,18599,4502,15329,3682,9237,1139,2820,1387,6198,1293,6023
1084,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),22049,22049,13896,13896,3103,3103,4028,4028,5467,5467,5253,5253
1085,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,3474,5840,5280,7127,5454,7403,5786,7563,4103,6838,3324,6457
1086,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),6095,7550,7708,9207,8068,9924,9373,11285,7613,9598,7167,9131
