,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank(2020),Closing Rank(2020),Opening Rank(2021),Closing Rank(2021),Opening Rank(2022),Closing Rank(2022),Opening Rank(2023),Closing Rank(2023),Opening Rank(2024),Closing Rank(2024),opening Rank(2025),closing Rank
24,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),30322,34914,34601,36595,31600,40179,34363,35664,34052,38341,34013,38420
25,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4335,4434,4289,4384,4855,4978,5360,5424,5368,5368,5370,5356
26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),6144,6144,6184,6184,5870,5870,7095,7095,6833,6833,6869,6869
27,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7068,8670,8667,9617,9981,10695,9413,11424,9998,11282,10233,11197
28,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),13601,13999,14240,15266,14077,14321,14284,14464,15841,16261,16007,16509
29,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3194,4930,4525,5890,4030,5643,4585,5627,4849,5388,4917,5290
30,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7683,7683,7388,7388,7347,7347,3887,3887,7303,7303,6418,6418
31,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1407,1699,1947,2531,1899,1969,1347,1886,1961,2067,1745,2022
32,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),2982,2982,2644,2644,2918,2918,3037,3037,3465,3465,3317,3317
33,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,26254,38550,27978,43138,45246,56186,23060,50642,46533,59226,33349,59814
34,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),35581,42528,27639,45176,59458,64949,54061,57205,55142,58999,54816,58996
35,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,7686,9336,7059,8529,8395,9968,8273,10609,10087,10871,9743,10825
36,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),8421,8421,10286,14760,12563,12563,15239,15239,11208,11208,10466,10510
37,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,22465,35264,13218,44918,31172,40024,23971,44463,34846,48225,28256,49029
38,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),34584,38025,46015,54452,26564,56198,32420,44879,52917,58441,55020,61976
39,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3800,7960,7826,8445,6222,9115,5208,8866,8777,10614,9382,10787
40,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,11088,19226,5107,5107,6793,6793,10834,10834,19832,22842,18191,17933
41,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,18821,26296,25414,30064,19777,36754,32680,36145,32450,37566,32446,37807
42,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-only (including Supernumerary),33186,37654,36652,40193,42290,44837,39554,42924,45406,46667,45946,46919
43,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4235,4296,4588,4645,5301,5347,5783,5926,6324,6346,6759,6687
44,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),6204,6204,6500,6500,7166,7166,7151,7151,7837,7837,8009,8009
45,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7559,8020,8939,9582,10075,10960,10322,11805,11125,12326,11644,12757
46,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),13900,14336,11801,15047,15542,16253,15329,16557,16374,17359,16136,17541
47,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3279,4128,3377,4930,4791,5303,4196,5606,4938,5733,4768,5836
48,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,877,910,1170,1271,1296,1377,1048,1568,1297,1307,1216,1246
49,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,6183,8763,2654,10024,6628,12211,8346,14058,9686,15326,9157,16164
